日期,编号,渠道,负责人,pv,uv,订单量,订单率,红包量,红包使用量,红包领取率,cpa,cpa浓度,cpa收入,cps收入,预估总收入,uv收益
2026/4/14,mm_3695479793_3017050185_115806300206,灯火投放-JQ_商品推广,俊清,20114,16038,197,0.0123,2648,167,0.1651,0,0,0,95,95,0.0059
2026/4/14,mm_3695518595_3019150023_116253150183,广点通投放（jw）,静文,8868,8092,706,0.0872,466,402,0.0576,2949,0.3644,810,456,1266,0.1565
2026/4/14,mm_1029370176_1591850259_116254800247,oppo投放-wsq,吴绍裘,9245,6831,541,0.0792,335,188,0.049,214,0.0313,59,220,279,0.0408
2026/4/14,mm_3695479793_3017050185_116142900080,快手投放,静文,6759,6486,196,0.0302,148,118,0.0228,870,0.1341,236,98,334,0.0515
2026/4/14,mm_3695518595_3019150023_116160500165,巨量投放-JQ,俊清,27232,26877,2069,0.077,1154,1132,0.0429,10857,0.404,2982,1083,4065,0.1512
2026/4/14,mm_1029370176_1591850259_116244150367,oppo投放-wsq,吴绍裘,25908,19311,1196,0.0619,866,470,0.0448,467,0.0242,128,619,747,0.0387
2026/4/14,mm_1029370176_1591850259_116228800042,淘宝密码换量,秋蓉,26011,25951,4741,0.1827,15574,6981,0.6001,543,0.0209,149,412,561,0.0216
2026/4/14,mm_3694315623_3089650004_116155350486,巨量投放,静文,40301,35238,3885,0.1103,1012,941,0.0287,10085,0.2862,2674,1809,4483,0.1272
2026/4/14,mm_3695518595_3019150023_116253150183,广点通投放（jw）,静文,450,425,23,0.0541,30,8,0.0706,0,0,0,39,39,0.0918
2026/4/14,mm_3695479793_3017050185_115876750425,广点通投放（昌海）,昌海,4079,2102,119,0.0566,78,61,0.0371,382,0.1817,103,34,137,0.0652
2026/4/14,mm_3695518595_3019150023_116207900301,巨量投放-马悦,马悦,4421,4405,630,0.143,425,409,0.0965,2182,0.4953,599,372,971,0.2204
2026/4/14,mm_3695518595_3019150023_116168900202,巨量投放,静文,53130,50232,3890,0.0774,25509,3894,0.5078,0,0,0,2329,2329,0.0464
2026/4/14,mm_3695479793_3017050185_116022350110,小黑盒-换量,秋蓉,0,0,525,,3527,3115,,0,,0,22,22,
2026/4/14,mm_3694315623_3089650004_116164800001,巨量投放,静文,21642,20272,1846,0.0911,1161,961,0.0573,8324,0.4106,2207,672,2879,0.142
2026/4/14,mm_3695518595_3019150023_116180950077,灯火投放（电商）,静文,3145,3099,921,0.2972,483,470,0.1559,1559,0.5031,428,418,846,0.273
2026/4/14,mm_3695479793_3017050185_115707200031,猜你喜欢的兜底,风筝,5793,5255,390,0.0742,675,261,0.1284,0,0,0,285,285,0.0542
2026/4/14,mm_3695518595_3019150023_116170100087,巨量投放-JQ,俊清,430,407,16,0.0393,41,38,0.1007,0,0,0,10,10,0.0246
2026/4/14,mm_1093570132_1562700221_114975550468,阿里拍卖换量,秋蓉,162,88,14,0.1591,98,15,1.1136,0,0,0,2,2,0.0227
2026/4/14,mm_3695518595_3019150023_116205350456,巨量投放,静文,427,420,26,0.0619,45,29,0.1071,0,0,0,8,8,0.019
2026/4/14,mm_3694315623_3089650004_116158200494,巨量投放-JQ,俊清,43812,39325,951,0.0242,3304,822,0.084,0,0,0,709,709,0.018
2026/4/14,mm_3695479793_3017050185_116046100155,多多有礼,颖慧,37599,33553,1030,0.0307,6287,4110,0.1874,0,0,0,130,130,0.0039
2026/4/14,mm_3695479793_3017050185_115805350269,UC投放,静文,11120,5934,281,0.0474,1331,409,0.2243,0,0,0,34,34,0.0057
2026/4/14,mm_1093570132_1562700221_110430750415,,,5,4,3,0.75,8,3,2,0,0,0,0,0,0
2026/4/14,mm_3695479793_3017050185_115877800099,灯火投放（电商）,静文,5176,5050,197,0.039,1804,204,0.3572,0,0,0,92,92,0.0182
2026/4/14,mm_3695479793_3017050185_115805350269,UC投放,静文,24500,23483,708,0.0301,2230,1775,0.095,0,0,0,105,105,0.0045
2026/4/14,mm_3694315623_3089650004_116158200494,巨量投放-JQ,俊清,3623,3589,117,0.0326,356,318,0.0992,0,0,0,51,51,0.0142
2026/4/14,mm_3695479793_3017050185_116022550453,网易云投放,静文,65,65,3,0.0462,0,0,0,0,0,0,0,0,0
2026/4/14,mm_3694315623_3089650004_116158400297,灯火投放（淘联）,俊清,1463,1452,14,0.0096,36,8,0.0248,0,0,0,16,16,0.011
2026/4/14,mm_3695479793_3017050185_115833400493,灯火投放-JQ_商品推广,俊清,4164,4115,118,0.0287,330,253,0.0802,0,0,0,25,25,0.0061
2026/4/14,mm_3695479793_3017050185_116217550461,UC投放,静文,25603,24667,881,0.0357,2929,843,0.1187,0,0,0,666,666,0.027
2026/4/14,mm_1093570132_1751350246_110478650059,多多有礼_小程序,颖慧,403,312,102,0.3269,510,359,1.6346,0,0,0,6,6,0.0192
2026/4/14,mm_3695479793_3017050185_116184900187,非标（探索）,刀子,656,534,176,0.3296,724,349,1.3558,1,0.0019,0,19,19,0.0356
2026/4/14,mm_3695479793_3017050185_115794350460,灯火投放（淘联）,俊清,0,0,20,,132,28,,0,,0,0,0,
2026/4/14,mm_3695479793_3017050185_116157850376,非标(运营),秋蓉,20,2,96,48,794,581,397,0,0,0,6,6,3
2026/4/14,mm_3694315623_3089650004_116164150056,网易云投放,静文,3824,3553,430,0.121,480,365,0.1351,751,0.2114,199,118,317,0.0892
2026/4/14,mm_3695479793_3017050185_115743000450,,,25,17,5,0.2941,0,0,0,0,0,0,0,0,0
2026/4/14,mm_3695479793_3017050185_115829800281,灯火投放（淘联）,俊清,510,296,105,0.3547,376,167,1.2703,0,0,0,6,6,0.0203
2026/4/14,mm_3695479793_3017050185_116102900241,灯火投放（电商）,静文,0,0,14,,55,49,,0,,0,0,0,
2026/4/14,mm_3695479793_3017050185_115829800281,灯火投放（淘联）,俊清,0,0,58,,282,259,,0,,0,2,2,
2026/4/14,mm_3695479793_3017050185_115757700095,灯火投放（电商）,静文,514,507,180,0.355,1436,1036,2.8323,0,0,0,15,15,0.0296
2026/4/14,mm_1029370176_1591850259_116258100010,灯火投放-马悦,马悦,3736,3442,637,0.1851,578,449,0.1679,1442,0.4189,396,410,806,0.2342
2026/4/14,mm_3695518595_3019150023_116168350234,全域智投-02(马悦）,马悦,6308,6170,141,0.0229,1134,145,0.1838,0,0,0,67,67,0.0109
2026/4/14,mm_3695479793_3017050185_115806300206,灯火投放-JQ_商品推广,俊清,1939,1906,36,0.0189,251,38,0.1317,6,0.0031,2,6,8,0.0042
2026/4/14,mm_3694315623_3089650004_116158250252,巨量投放,静文,4737,4728,146,0.0309,253,129,0.0535,677,0.1432,180,47,227,0.048
2026/4/14,mm_3695479793_3017050185_115744700414,灯火投放（电商）,静文,39,38,16,0.4211,82,63,2.1579,0,0,0,2,2,0.0526
2026/4/14,mm_1029370176_1386550351_110136400041,福利号_推送,温淑娟,129,97,42,0.433,121,90,1.2474,0,0,0,10,10,0.1031
2026/4/14,mm_3695479793_3017050185_116139700339,摇红包投放（大红包bc直开链路）,晓纯,18,15,6,0.4,0,0,0,0,0,0,0,0,0
2026/4/14,mm_3695479793_3017050185_115757700095,灯火投放（电商）,静文,987,549,135,0.2459,581,202,1.0583,0,0,0,19,19,0.0346
2026/4/14,mm_3695479793_3017050185_115644100102,灯火投放-JQ_灯火,俊清,1,1,0,0,0,0,0,0,0,0,0,0,0
2026/4/14,mm_3695479793_3017050185_115805350269,UC投放,静文,22,18,4,0.2222,0,0,0,0,0,0,0,0,0
2026/4/14,mm_3695479793_3017050185_115806300206,灯火投放-JQ_商品推广,俊清,17,13,0,0,0,0,0,0,0,0,0,0,0
2026/4/14,mm_3695479793_3017050185_116022350110,小黑盒-换量,秋蓉,26,20,2,0.1,0,0,0,0,0,0,0,0,0
2026/4/14,mm_3676667659_3015000354_116139600388,小黑盒-换量,秋蓉,3,1,0,0,0,0,0,0,0,0,0,0,0
2026/4/14,mm_3695479793_3017050185_116139700339,摇红包投放（大红包bc直开链路）,晓纯,16,12,1,0.0833,0,0,0,0,0,0,0,0,0
2026/4/14,mm_1093570132_1562700221_116144100011,摇红包投放（大红包bc直开链路）,晓纯,1,1,0,0,0,0,0,0,0,0,0,0,0
2026/4/14,mm_1029370176_1591850259_116144200195,摇红包投放（大红包bc直开链路）,晓纯,2,2,0,0,0,0,0,0,0,0,0,0,0
2026/4/14,mm_3694315623_3089650004_116155800498,小黑盒-换量,秋蓉,9,7,0,0,0,0,0,0,0,0,0,0,0
2026/4/14,mm_3695518595_3019150023_116157600426,非标（探索）,刀子,16,8,0,0,0,0,0,0,0,0,0,0,0
2026/4/14,mm_3695479793_3017050185_116157700359,非标（探索）,刀子,12,11,0,0,0,0,0,0,0,0,0,0,0
2026/4/14,mm_3694315623_3089650004_116160550166,摇红包投放（大红包bc直开链路）,晓纯,14,8,0,0,0,0,0,0,0,0,0,0,0
2026/4/14,mm_3694315623_3089650004_116164150440,非标（探索）,刀子,3,3,0,0,0,0,0,0,0,0,0,0,0
2026/4/14,mm_1093570132_1562700221_114982450442,,,71,36,3,0.0833,46,13,1.2778,0,0,0,0,0,0
2026/4/14,mm_1093570132_1562700221_114983600177,多多换量（共用）,秋蓉,257,165,26,0.1576,224,38,1.3576,0,0,0,1,1,0.0061
2026/4/14,mm_1093570132_1562700221_114997800035,赚一点换量,秋蓉,147,66,2,0.0303,73,6,1.1061,0,0,0,0,0,0
