日期,编号,渠道,负责人,pv,uv,订单量,订单率,红包量,红包使用量,红包领取率,cpa,cpa浓度,cpa收入,cps收入,预估总收入,uv收益
2026/4/15,mm_1029370176_1591850259_116254800247,oppo投放-wsq,吴绍裘,11089,8635,480,0.0556,304,169,0.0352,220,0.0255,60,196,256,0.0296
2026/4/15,mm_3694315623_3089650004_116155350486,巨量投放,静文,60958,51926,4495,0.0866,1908,1548,0.0367,15024,0.2893,3981,1916,5897,0.1136
2026/4/15,mm_3694315623_3089650004_116164800001,巨量投放,静文,100080,92391,6752,0.0731,8076,5858,0.0874,42304,0.4579,11211,2939,14150,0.1532
2026/4/15,mm_1029370176_1591850259_116244150367,oppo投放-wsq,吴绍裘,23425,17989,1625,0.0903,906,523,0.0504,948,0.0527,260,604,864,0.048
2026/4/15,mm_3695518595_3019150023_116180950077,灯火投放（电商）,静文,5239,5164,1165,0.2256,914,721,0.177,2629,0.5091,721,338,1059,0.2051
2026/4/15,mm_3694315623_3089650004_116161800238,巨量投放,静文,22139,20468,2272,0.111,2280,1743,0.1114,9598,0.4689,2544,815,3359,0.1641
2026/4/15,mm_3695479793_3017050185_115721950278,多多投放_淘宝小程序兜底,俊清,934,489,77,0.1575,560,57,1.1452,0,0,0,7,7,0.0143
2026/4/15,mm_1029370176_1591850259_116247600104,oppo投放-wsq,吴绍裘,2478,1638,83,0.0507,96,38,0.0586,57,0.0348,16,51,67,0.0409
2026/4/15,mm_3694315623_3089650004_116158500255,UC投放,静文,13687,13644,839,0.0615,1233,839,0.0904,3523,0.2582,934,276,1210,0.0887
2026/4/15,mm_3695479793_3017050185_116142900080,快手投放,静文,14428,13760,561,0.0408,680,505,0.0494,3094,0.2249,837,164,1001,0.0727
2026/4/15,mm_3695479793_3017050185_115806300206,灯火投放-JQ_商品推广,俊清,20823,16741,190,0.0113,2657,175,0.1587,0,0,0,95,95,0.0057
2026/4/15,mm_1029370176_1591850259_116186150322,巨量投放-马悦,马悦,17196,16925,1825,0.1078,1937,1512,0.1144,9234,0.5456,2535,950,3485,0.2059
2026/4/15,mm_3694315623_3089650004_116158200494,巨量投放-JQ,俊清,20697,18079,418,0.0231,1279,286,0.0707,0,0,0,248,248,0.0137
2026/4/15,mm_1093570132_1751350246_110478650059,多多有礼_小程序,颖慧,361,291,71,0.244,540,377,1.8557,0,0,0,3,3,0.0103
2026/4/15,mm_3694315623_3089650004_116158400297,灯火投放（淘联）,俊清,1373,1355,21,0.0155,91,66,0.0672,0,0,0,4,4,0.003
2026/4/15,mm_1029370176_1591850259_116249350407,UC投放,静文,93059,88664,3972,0.0448,2818,2407,0.0318,19472,0.2196,5345,2224,7569,0.0854
2026/4/15,mm_3695518595_3019150023_116168900202,巨量投放,静文,29564,27890,2932,0.1051,18075,2660,0.6481,0,0,0,2109,2109,0.0756
