日期,编号,渠道,负责人,pv,uv,订单量,订单率,红包量,红包使用量,红包领取率,cpa,cpa浓度,cpa收入,cps收入,预估总收入,uv收益
2026/4/26,mm_3695518595_3019150023_116168900202,巨量投放,静文,47841,45654,3822,0.0837,22707,3252,0.4974,0,0,0,2292,2292,0.0502
2026/4/26,mm_1029370176_1591850259_116258800377,广点通投放（昌海）,昌海,4763,3159,467,0.1478,492,267,0.1557,0,0,0,489,489,0.1548
2026/4/26,mm_3695479793_3017050185_115882550173,广点通投放（昌海）,昌海,55637,55399,4571,0.0825,3472,2836,0.0627,26664,0.4813,7214,2288,9502,0.1715
2026/4/26,mm_3695518595_3019150023_116160500165,巨量投放-JQ,俊清,47928,47296,2609,0.0552,2097,1694,0.0443,17044,0.3604,4672,1334,6006,0.127
2026/4/26,mm_3694315623_3089650004_116155350486,巨量投放,静文,68360,57775,3233,0.056,1283,991,0.0222,14409,0.2494,3816,2012,5828,0.1009
2026/4/26,mm_3695518595_3019150023_116168950193,快手投放,静文,17251,16086,2214,0.1376,4893,1565,0.3042,0,0,0,1766,1766,0.1098
2026/4/26,mm_3695518595_3019150023_116206450408,广点通投放（昌海）,昌海,2283,1498,220,0.1469,308,150,0.2056,0,0,0,245,245,0.1636
2026/4/26,mm_1029370176_1591850259_116244150367,oppo投放-wsq,吴绍裘,36157,26264,2128,0.081,1011,516,0.0385,1262,0.0481,346,639,985,0.0375
2026/4/26,mm_3695518595_3019150023_116248050480,广点通投放（jw）,静文,5751,5744,245,0.0427,250,161,0.0435,1599,0.2784,438,103,541,0.0942
2026/4/26,mm_1029370176_1591850259_116228800042,淘宝密码换量,秋蓉,23415,23368,4143,0.1773,15621,5147,0.6685,319,0.0137,88,300,388,0.0166
2026/4/26,mm_3695518595_3019150023_116207900301,巨量投放-马悦,马悦,22254,22065,2291,0.1038,1910,1524,0.0866,12838,0.5818,3519,1137,4656,0.211
2026/4/26,mm_3695479793_3017050185_116022350110,小黑盒-换量,秋蓉,0,0,492,,3364,2975,,0,,0,15,15,
2026/4/26,mm_3694315623_3089650004_116164800001,巨量投放,静文,38950,37017,1806,0.0488,1530,1091,0.0413,12767,0.3449,3381,873,4254,0.1149
2026/4/26,mm_3695518595_3019150023_116164900419,巨量投放（淘联）,俊清,7715,7383,196,0.0265,509,166,0.0689,0,0,0,161,161,0.0218
2026/4/26,mm_1029370176_1591850259_116222000226,广点通投放（昌海）,昌海,1838,1094,202,0.1846,327,154,0.2989,0,0,0,166,166,0.1517
2026/4/26,mm_3695479793_3017050185_116198450190,灯火投放（昌海）,昌海,8277,4636,809,0.1745,1141,596,0.2461,0,0,0,782,782,0.1687
2026/4/26,mm_3695518595_3019150023_116166750360,投放1组（微博投放）,俊清,10582,10566,1691,0.16,2724,1877,0.2578,3958,0.3746,1085,370,1455,0.1377
2026/4/26,mm_3695479793_3017050185_115823050374,灯火投放（淘联）,俊清,1,1,1,1,0,0,0,0,0,0,1,1,1
2026/4/26,mm_3695518595_3019150023_116180950077,灯火投放（电商）,静文,10376,10053,2100,0.2089,1940,1560,0.193,5762,0.5732,1579,575,2154,0.2143
2026/4/26,mm_3695479793_3017050185_116157850376,非标(运营),秋蓉,0,0,102,,758,559,,0,,0,6,6,
2026/4/26,mm_3695479793_3017050185_116184900187,非标（探索）,刀子,638,541,154,0.2847,779,361,1.4399,6,0.0111,2,35,37,0.0684
2026/4/26,mm_3695479793_3017050185_115877800099,灯火投放（电商）,静文,5982,5741,158,0.0275,2725,218,0.4747,0,0,0,105,105,0.0183
2026/4/26,mm_3695479793_3017050185_115657300054,淘金币-换量,秋蓉,302,169,30,0.1775,310,119,1.8343,0,0,0,4,4,0.0237
2026/4/26,mm_3694315623_3089650004_116161800238,巨量投放,静文,63809,63761,4072,0.0639,2267,1703,0.0356,18606,0.2918,4927,1827,6754,0.1059
2026/4/26,mm_1029370176_1591850259_116249350407,UC投放,静文,15383,14999,493,0.0329,347,279,0.0231,2993,0.1995,821,272,1093,0.0729
2026/4/26,mm_1029370176_1591850259_116254800247,oppo投放-wsq,吴绍裘,11794,9751,648,0.0665,327,207,0.0335,532,0.0546,146,254,400,0.041
2026/4/26,mm_3695479793_3017050185_116046100155,多多有礼,颖慧,38219,34450,954,0.0277,6242,4124,0.1812,0,0,0,138,138,0.004
2026/4/26,mm_3695479793_3017050185_115931150352,巨量投放,静文,0,0,41,,390,317,,0,,0,5,5,
2026/4/26,mm_1029370176_1591850259_116222600188,充鸭频道,晓纯,4072,3911,805,0.2058,2248,870,0.5748,251,0.0642,69,305,374,0.0956
2026/4/26,mm_1093570132_1562700221_114982450442,,,63,31,7,0.2258,40,5,1.2903,0,0,0,1,1,0.0323
2026/4/26,mm_3695479793_3017050185_115644100102,灯火投放-JQ_灯火,俊清,10192,10095,109,0.0108,489,84,0.0484,0,0,0,97,97,0.0096
2026/4/26,mm_1093570132_1562700221_115474750465,,,2,2,4,2,2,0,1,0,0,0,0,0,0
2026/4/26,mm_3694315623_3089650004_116158250252,巨量投放,静文,40070,39989,966,0.0242,1487,776,0.0372,6097,0.1525,1615,443,2058,0.0515
2026/4/26,mm_1029370176_1591850259_116186150322,巨量投放-马悦,马悦,13398,13276,1321,0.0995,1082,854,0.0815,7072,0.5327,1940,665,2605,0.1962
2026/4/26,mm_3694315623_3089650004_116158200494,巨量投放-JQ,俊清,2202,2191,50,0.0228,164,130,0.0749,0,0,0,10,10,0.0046
2026/4/26,mm_1093570132_1562700221_114997800035,赚一点换量,秋蓉,20,9,2,0.2222,5,3,0.5556,0,0,0,1,1,0.1111
2026/4/26,mm_1029370176_1591850259_116190600003,非标（探索）,刀子,32,27,5,0.1852,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3694315623_3089650004_116158500255,UC投放,静文,39719,39085,1467,0.0375,1537,996,0.0393,8025,0.2053,2125,753,2878,0.0736
2026/4/26,mm_3695479793_3017050185_115879400302,灯火投放（昌海）,昌海,5,5,2,0.4,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115833400493,灯火投放-JQ_商品推广,俊清,638,629,34,0.0541,87,34,0.1383,11,0.0175,3,8,11,0.0175
2026/4/26,mm_3695518595_3019150023_116160500165,巨量投放-JQ,俊清,2396,1095,43,0.0393,186,133,0.1699,0,0,0,7,7,0.0064
2026/4/26,mm_3695479793_3017050185_115652100423,,,6,5,1,0.2,9,1,1.8,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115794350460,灯火投放（淘联）,俊清,0,0,19,,158,57,,0,,0,0,0,
2026/4/26,mm_3695518595_3019150023_116260850003,UC投放,静文,7277,7178,121,0.0169,310,89,0.0432,0,0,0,87,87,0.0121
2026/4/26,mm_3695518595_3019150023_116158550277,网易云投放,静文,443,433,6,0.0139,38,2,0.0878,0,0,0,0,0,0
2026/4/26,mm_3694315623_3089650004_116227150237,淘宝小游戏qdtask,刀子,48,48,10,0.2083,69,39,1.4375,0,0,0,0,0,0
2026/4/26,mm_3695518595_3019150023_116169400159,快手投放-JQ,俊清,10712,2729,34,0.0125,159,29,0.0583,0,0,0,7,7,0.0026
2026/4/26,mm_3695479793_3017050185_116142900080,快手投放,静文,9666,9549,168,0.0176,237,137,0.0248,1135,0.1189,307,58,365,0.0382
2026/4/26,mm_3695479793_3017050185_116184900187,非标（探索）,刀子,172,134,46,0.3433,299,48,2.2313,0,0,0,3,3,0.0224
2026/4/26,mm_3695518595_3019150023_116164900419,巨量投放（淘联）,俊清,45822,5405,301,0.0557,534,197,0.0988,0,0,0,406,406,0.0751
2026/4/26,mm_3695479793_3017050185_115806300206,灯火投放-JQ_商品推广,俊清,3671,2666,44,0.0165,284,210,0.1065,0,0,0,11,11,0.0041
2026/4/26,mm_1093570132_1751350246_110478650059,多多有礼_小程序,颖慧,367,289,84,0.2907,487,351,1.6851,0,0,0,20,20,0.0692
2026/4/26,mm_3695479793_3017050185_115757700095,灯火投放（电商）,静文,36453,36294,396,0.0109,7339,402,0.2022,0,0,0,109,109,0.003
2026/4/26,mm_3676667659_3015000354_116139600388,小黑盒-换量,秋蓉,13,12,4,0.3333,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3695518595_3019150023_116180950077,灯火投放（电商）,静文,129,128,18,0.1406,22,12,0.1719,0,0,0,3,3,0.0234
2026/4/26,mm_3695479793_3017050185_115757700095,灯火投放（电商）,静文,12266,12204,514,0.0421,2803,1957,0.2297,0,0,0,39,39,0.0032
2026/4/26,mm_3695479793_3017050185_115721950278,多多投放_淘宝小程序兜底,俊清,864,483,60,0.1242,529,44,1.0952,0,0,0,5,5,0.0104
2026/4/26,mm_3695479793_3017050185_115833400493,灯火投放-JQ_商品推广,俊清,9375,7838,210,0.0268,648,506,0.0827,0,0,0,54,54,0.0069
2026/4/26,mm_1029370176_1591850259_116160900132,灯火投放（电商）,静文,24,22,1,0.0455,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3695518595_3019150023_116168900202,巨量投放,静文,7140,1975,66,0.0334,958,45,0.4851,0,0,0,11,11,0.0056
2026/4/26,mm_3695479793_3017050185_116022350110,小黑盒-换量,秋蓉,106,90,12,0.1333,0,0,0,0,0,0,1,1,0.0111
2026/4/26,mm_1029370176_1591850259_116225250025,广点通投放（昌海）,昌海,2783,1544,149,0.0965,247,110,0.16,0,0,0,184,184,0.1192
2026/4/26,mm_1093570132_1562700221_115185150047,云码聚合拉新（淘宝红包）,马悦,2,2,0,0,0,0,0,0,0,0,0,0,0
2026/4/26,mm_1093570132_1562700221_115225900199,,,1,1,0,0,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115675100317,,,2,1,0,0,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115806300206,灯火投放-JQ_商品推广,俊清,7,5,0,0,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115813450445,,,3,3,0,0,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_116022350110,小黑盒-换量,秋蓉,23,19,1,0.0526,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_116099750468,,,1,1,0,0,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3676667659_3015000354_116139600388,小黑盒-换量,秋蓉,3,3,0,0,0,0,0,0,0,0,0,0,0
2026/4/26,mm_1029370176_1591850259_116141650332,摇红包投放（大红包bc直开链路）,晓纯,13,7,0,0,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_116157500310,网易云投放,静文,95,68,0,0,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3695518595_3019150023_116157600426,非标（探索）,刀子,12,7,0,0,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_116157700359,非标（探索）,刀子,2,2,0,0,0,0,0,0,0,0,0,0,0
2026/4/26,mm_3694315623_3089650004_116164150440,非标（探索）,刀子,5,3,0,0,0,0,0,0,0,0,0,0,0
2026/4/26,mm_1093570132_1562700221_114975550468,阿里拍卖换量,秋蓉,160,88,10,0.1136,105,9,1.1932,1,0.0114,0,2,2,0.0227
2026/4/26,mm_1093570132_1562700221_114975750447,,,13,7,1,0.1429,8,1,1.1429,0,0,0,0,0,0
2026/4/26,mm_1093570132_1562700221_114979500190,,,5,1,0,0,1,0,1,0,0,0,0,0,0
2026/4/26,mm_1093570132_1562700221_114981050139,多多有礼,颖慧,50,36,12,0.3333,51,3,1.4167,0,0,0,0,0,0
2026/4/26,mm_1093570132_1562700221_114983600177,多多换量（共用）,秋蓉,250,159,14,0.0881,197,9,1.239,0,0,0,1,1,0.0063
2026/4/26,mm_1093570132_1562700221_115488150073,,,64,39,8,0.2051,46,3,1.1795,1,0.0256,0,1,1,0.0256
2026/4/26,mm_1093570132_1562700221_115492550171,,,14,12,5,0.4167,13,2,1.0833,1,0.0833,0,0,0,0
2026/4/26,mm_1093570132_1562700221_115529450119,,,43,25,0,0,37,2,1.48,0,0,0,0,0,0
2026/4/26,mm_1093570132_1562700221_115543900486,灯火广告支付后,马悦,36,28,2,0.0714,33,1,1.1786,1,0.0357,0,1,1,0.0357
2026/4/26,mm_1093570132_1562700221_115569550136,灯火广告支付后,马悦,311,196,28,0.1429,232,28,1.1837,2,0.0102,0,6,6,0.0306
2026/4/26,mm_3695479793_3017050185_115586500317,灯火广告支付后,马悦,63,47,4,0.0851,80,24,1.7021,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115591100159,,,47,40,6,0.15,68,29,1.7,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115616100305,灯火广告支付后,马悦,181,110,10,0.0909,182,50,1.6545,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115624300073,,,142,103,8,0.0777,159,60,1.5437,0,0,0,1,1,0.0097
2026/4/26,mm_3695479793_3017050185_115644100102,灯火投放-JQ_灯火,俊清,4346,1363,12,0.0088,92,9,0.0675,1,0.0007,0,5,5,0.0037
2026/4/26,mm_3695479793_3017050185_115647800216,,,88,44,5,0.1136,95,42,2.1591,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115651700091,阿里拍卖换量_端外app推送,秋蓉,116,78,20,0.2564,169,97,2.1667,1,0.0128,0,1,1,0.0128
2026/4/26,mm_3695479793_3017050185_115657000366,全域智投-05账号,马悦,44,27,5,0.1852,40,15,1.4815,1,0.037,0,1,1,0.037
2026/4/26,mm_3695479793_3017050185_115660400470,,,29,11,0,0,30,10,2.7273,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115661200233,,,25,12,1,0.0833,16,5,1.3333,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115669850177,全域智投-05账号,马悦,157,97,12,0.1237,166,43,1.7113,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115670850190,灯火投放（电商）,静文,22,14,3,0.2143,29,8,2.0714,0,0,0,1,1,0.0714
2026/4/26,mm_3695479793_3017050185_115671450092,,,4,3,1,0.3333,1,0,0.3333,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115681500443,薅羊毛-换量,秋蓉,38,22,1,0.0455,42,13,1.9091,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115710250247,网易云（淘宝闪购）,俊清,1018,1006,3,0.003,53,9,0.0527,4,0.004,1,4,5,0.005
2026/4/26,mm_3695479793_3017050185_115711300459,,,14,9,1,0.1111,21,5,2.3333,0,0,0,13,13,1.4444
2026/4/26,mm_3695479793_3017050185_115715250429,,,6,3,0,0,4,4,1.3333,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115719100124,,,21,10,1,0.1,16,3,1.6,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115720600036,多多有礼_福气页-活动列表,颖慧,8386,7793,881,0.1131,3764,1168,0.483,150,0.0192,41,196,237,0.0304
2026/4/26,mm_3695479793_3017050185_115738900284,灯火投放-JQ,俊清,30,24,2,0.0833,41,15,1.7083,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115738950035,快手投放-my01,马悦,69,51,7,0.1373,81,30,1.5882,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115740250272,自营1_全域智投-xf,黄静,91,56,6,0.1071,87,31,1.5536,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115740650022,,,7,5,0,0,8,2,1.6,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115744700414,灯火投放（电商）,静文,476,459,5,0.0109,69,18,0.1503,49,0.1068,13,1,14,0.0305
2026/4/26,mm_3695479793_3017050185_115757700095,灯火投放（电商）,静文,208,200,4,0.02,45,15,0.225,20,0.1,5,0,5,0.025
2026/4/26,mm_3695479793_3017050185_115794350460,灯火投放（淘联）,俊清,77,51,8,0.1569,94,35,1.8431,0,0,0,1,1,0.0196
2026/4/26,mm_3695479793_3017050185_115803000046,巨量投放,静文,95,83,1,0.012,2,1,0.0241,4,0.0482,1,0,1,0.012
2026/4/26,mm_3695479793_3017050185_115804100438,,,17,13,4,0.3077,18,7,1.3846,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115806300206,灯火投放-JQ_商品推广,俊清,2652,2570,32,0.0125,238,53,0.0926,8,0.0031,2,2,4,0.0016
2026/4/26,mm_3695479793_3017050185_115823050374,灯火投放（淘联）,俊清,108,107,0,0,11,2,0.1028,0,0,0,0,0,0
2026/4/26,mm_3695479793_3017050185_115839250169,快手投放,静文,1668,1022,29,0.0284,69,36,0.0675,237,0.2319,64,8,72,0.0705
2026/4/26,mm_3695479793_3017050185_115896950018,全域智投-05账号,马悦,671,671,8,0.0119,15,11,0.0224,19,0.0283,5,4,9,0.0134
2026/4/26,mm_3695479793_3017050185_116022550453,网易云投放,静文,674,358,0,0,0,0,0,2,0.0056,1,0,1,0.0028
2026/4/26,mm_3695479793_3017050185_116157450279,素材中心,魏祺,29,17,6,0.3529,24,9,1.4118,2,0.1176,1,6,7,0.4118
2026/4/26,mm_3695518595_3019150023_116158550277,网易云投放,静文,39,38,0,0,0,0,0,6,0.1579,2,0,2,0.0526
2026/4/26,mm_3694315623_3089650004_116160800308,网易云投放,静文,8765,8031,783,0.0975,801,603,0.0997,2608,0.3247,691,328,1019,0.1269
2026/4/26,mm_3695518595_3019150023_116159700227,网易云投放,静文,31,30,1,0.0333,1,1,0.0333,5,0.1667,1,0,1,0.0333
2026/4/26,mm_3695479793_3017050185_116162100083,悦动健康换量,秋蓉,2070,2051,46,0.0224,222,20,0.1082,4,0.002,1,6,7,0.0034
2026/4/26,mm_3694315623_3089650004_116164150056,网易云投放,静文,5840,5727,442,0.0772,559,369,0.0976,1043,0.1821,276,123,399,0.0697
