日期,编号,渠道,负责人,pv,uv,订单量,订单率,红包量,红包使用量,红包领取率,cpa,cpa浓度,cpa收入,cps收入,预估总收入,uv收益
2026/4/13,mm_3694315623_3089650004_116155350486,巨量投放,静文,45249,39444,4383,0.1111,1295,1227,0.0328,11537,0.2925,3061,1858,4919,0.1247
2026/4/13,mm_1029370176_1591850259_116244150367,oppo投放-wsq,吴绍裘,25098,17968,897,0.0499,764,389,0.0425,434,0.0242,119,364,483,0.0269
2026/4/13,mm_3695518595_3019150023_116253150183,广点通投放（jw）,静文,4257,3912,270,0.069,170,164,0.0435,1293,0.3305,356,97,453,0.1158
2026/4/13,mm_3695479793_3017050185_116022350110,小黑盒-换量,秋蓉,0,0,420,,3529,2996,,0,,0,16,16,
2026/4/13,mm_3695518595_3019150023_116180950077,灯火投放（电商）,静文,4485,4432,1267,0.2859,662,677,0.1494,2071,0.4673,570,444,1014,0.2288
2026/4/13,mm_3695518595_3019150023_116168900202,巨量投放,静文,65388,62141,4030,0.0649,26725,4181,0.4301,0,0,0,2682,2682,0.0432
2026/4/13,mm_3695518595_3019150023_116168900202,巨量投放,静文,23867,20494,596,0.0291,2495,2163,0.1217,0,0,0,216,216,0.0105
2026/4/13,mm_3695479793_3017050185_115707200031,猜你喜欢的兜底,风筝,16868,14302,304,0.0213,719,237,0.0503,0,0,0,341,341,0.0238
2026/4/13,mm_3695518595_3019150023_116160500165,巨量投放-JQ,俊清,28579,28172,2112,0.075,1319,1263,0.0468,11160,0.3961,3071,976,4047,0.1437
2026/4/13,mm_3695518595_3019150023_116231450313,UC投放,静文,46671,44492,1467,0.033,4637,1130,0.1042,0,0,0,719,719,0.0162
2026/4/13,mm_3695518595_3019150023_116231450313,UC投放,静文,46632,41561,307,0.0074,999,242,0.024,0,0,0,159,159,0.0038
2026/4/13,mm_3694315623_3089650004_116161800238,巨量投放,静文,6995,6391,758,0.1186,413,380,0.0646,2453,0.3838,651,257,908,0.1421
2026/4/13,mm_3694315623_3089650004_116158200494,巨量投放-JQ,俊清,125017,98917,1238,0.0125,5876,1148,0.0594,0,0,0,876,876,0.0089
2026/4/13,mm_1029370176_1591850259_116246650255,薅羊毛-换量,秋蓉,38259,36076,1317,0.0365,6849,1912,0.1898,408,0.0113,112,371,483,0.0134
2026/4/13,mm_3695479793_3017050185_115833400493,灯火投放-JQ_商品推广,俊清,31161,20860,454,0.0218,888,764,0.0426,0,0,0,118,118,0.0057
2026/4/13,mm_3695479793_3017050185_116022350110,小黑盒-换量,秋蓉,11999,9734,241,0.0248,1542,204,0.1584,43,0.0044,12,28,40,0.0041
2026/4/13,mm_1029370176_1591850259_116254800247,oppo投放-wsq,吴绍裘,16751,13341,582,0.0436,395,239,0.0296,253,0.019,70,241,311,0.0233
2026/4/13,mm_3695518595_3019150023_116160500165,巨量投放-JQ,俊清,4202,3827,211,0.0551,267,149,0.0698,0,0,0,131,131,0.0342
2026/4/13,mm_1093570132_1751350246_110478650059,多多有礼_小程序,颖慧,369,298,143,0.4799,523,379,1.755,0,0,0,5,5,0.0168
2026/4/13,mm_3695479793_3017050185_115707900037,全域智投-05账号,马悦,1434,1377,147,0.1068,175,138,0.1271,493,0.358,134,65,199,0.1445
2026/4/13,mm_3695479793_3017050185_115794200253,快手投放,静文,2118,1947,129,0.0663,66,57,0.0339,620,0.3184,168,49,217,0.1115
2026/4/13,mm_3695479793_3017050185_115805350269,UC投放,静文,88091,74555,433,0.0058,4778,514,0.0641,0,0,0,136,136,0.0018
2026/4/13,mm_1029370176_1591850259_116157600430,非标(运营),秋蓉,158924,150760,2744,0.0182,25802,4231,0.1711,1140,0.0076,313,757,1070,0.0071
2026/4/13,mm_3695479793_3017050185_116046100155,多多有礼,颖慧,37467,33736,961,0.0285,6341,4069,0.188,0,0,0,94,94,0.0028
2026/4/13,mm_3695479793_3017050185_115806300206,灯火投放-JQ_商品推广,俊清,116264,76007,567,0.0075,5779,479,0.076,0,0,0,392,392,0.0052
2026/4/13,mm_3695479793_3017050185_115644100102,灯火投放-JQ_灯火,俊清,21651,21285,360,0.0169,1289,329,0.0606,0,0,0,205,205,0.0096
2026/4/13,mm_3694315623_3089650004_116164150056,网易云投放,静文,4589,4365,394,0.0903,440,339,0.1008,688,0.1576,183,211,394,0.0903
2026/4/13,mm_1093570132_1562700221_114975550468,阿里拍卖换量,秋蓉,169,89,7,0.0787,101,3,1.1348,0,0,0,0,0,0
2026/4/13,mm_3695479793_3017050185_116197900135,UC投放,静文,2594,560,13,0.0232,0,0,0,0,0,0,1,1,0.0018
2026/4/13,mm_3695479793_3017050185_115823050374,灯火投放（淘联）,俊清,6042,5905,153,0.0259,849,105,0.1438,0,0,0,279,279,0.0472
2026/4/13,mm_3694315623_3089650004_116158250252,巨量投放,静文,27759,27697,1184,0.0427,1420,869,0.0513,5061,0.1827,1343,469,1812,0.0654
2026/4/13,mm_3695479793_3017050185_116211400098,广点通投放-JQ,俊清,16496,16319,412,0.0252,1208,317,0.074,0,0,0,275,275,0.0169
2026/4/13,mm_3695479793_3017050185_115805350269,UC投放,静文,65489,59738,352,0.0059,2390,335,0.04,0,0,0,166,166,0.0028
2026/4/13,mm_3695479793_3017050185_116022550453,网易云投放,静文,167,166,16,0.0964,0,0,0,0,0,0,1,1,0.006
2026/4/13,mm_3695479793_3017050185_116157850376,非标(运营),秋蓉,8964,8770,484,0.0552,2350,1658,0.268,0,0,0,130,130,0.0148
2026/4/13,mm_3695479793_3017050185_115757700095,灯火投放（电商）,静文,29943,28480,906,0.0318,4942,3445,0.1735,0,0,0,73,73,0.0026
2026/4/13,mm_3695479793_3017050185_115707900037,全域智投-05账号,马悦,1323,1171,72,0.0615,305,69,0.2605,0,0,0,26,26,0.0222
2026/4/13,mm_3694315623_3089650004_116156400433,快手投放-JQ,俊清,2484,2421,25,0.0103,120,42,0.0496,1,0.0004,0,16,16,0.0066
2026/4/13,mm_3695479793_3017050185_115738400271,快手投放（昌海）,昌海,176,103,17,0.165,71,22,0.6893,0,0,0,1,1,0.0097
2026/4/13,mm_1093570132_1751350246_110480600050,天天打卡_小程序,颖慧,43,35,13,0.3714,98,75,2.8,0,0,0,4,4,0.1143
2026/4/13,mm_1029370176_1591850259_116245850096,快手投放-GWX,俊清,5004,3803,17,0.0045,26,9,0.0068,0,0,0,7,7,0.0018
2026/4/13,mm_3694315623_3089650004_116158200494,巨量投放-JQ,俊清,26331,23062,304,0.0132,996,834,0.0432,0,0,0,144,144,0.0062
2026/4/13,mm_1093570132_1562700221_115543900486,灯火广告支付后,马悦,47,37,2,0.0541,47,1,1.2703,0,0,0,0,0,0
2026/4/13,mm_3695479793_3017050185_115707900037,全域智投-05账号,马悦,70,70,10,0.1429,66,50,0.9429,0,0,0,0,0,0
2026/4/13,mm_3695479793_3017050185_116217550461,UC投放,静文,56261,50293,751,0.0149,2208,616,0.0439,0,0,0,587,587,0.0117
2026/4/13,mm_3695479793_3017050185_115806300206,灯火投放-JQ_商品推广,俊清,14743,12972,92,0.0071,592,94,0.0456,17,0.0013,5,13,18,0.0014
2026/4/13,mm_3695479793_3017050185_115721950278,多多投放_淘宝小程序兜底,俊清,922,479,66,0.1378,356,76,0.7432,0,0,0,4,4,0.0084
2026/4/13,mm_1093570132_1562700221_115488150073,,,53,35,4,0.1143,38,1,1.0857,0,0,0,0,0,0
2026/4/13,mm_3695518595_3019150023_116168900202,巨量投放,静文,32573,6626,193,0.0291,2555,152,0.3856,0,0,0,94,94,0.0142
2026/4/13,mm_3695479793_3017050185_115794350460,灯火投放（淘联）,俊清,0,0,18,,146,35,,0,,0,0,0,
2026/4/13,mm_1029370176_1386550351_110136400041,福利号_推送,温淑娟,110,92,21,0.2283,101,71,1.0978,0,0,0,2,2,0.0217
